Kashmira,Surana,20181,ramesh12@gmail.com,8810346578,28-02-1999,F,Indian,B.Tech,MIT,Information technology,2021,0,0,95.76,12-04-2021,Java,PHP,FullStackDeveloper
Manish,Paul,201712,verma_2@rknec.edu,9973565410,01-01-2000,M,Indian,B.E.,Techno Main,Computer Engineering,2021,1,1,75,15-03-2021,Python,C,BackendDeveloper
Shubham,Kumar,919934,singh_p@gmail.com,8769083241,17-05-1998,M,Indian,B.Tech,Techno Main,Mechanical Engineering,2021,0,1,81.28,17-05-2021,Java,Java,FrontendDeveloper
Akansha,Jacobs,2312452,jacob45@gmail.com,1111097823,29-02-2000,F,Britain,B.Tech,ICE,Computer Science,2021,0,0,99.9,01-09-2021,Python,DotNet,FullStackDeveloper
ABC,XYZ,20117354,xyz_abc@yahoo.com,7983455789,01-12-1995,O,Indian,B.Tech,IIT Bombay,Electronics Engineering,2018,1,0,89.6,01-04-2021,Ruby,Java,BackendDeveloper
Aditya,Raut,1735324567,raut12@gmail.com,8974369034,29-06-1998,M,Indian,B.E.,S J College,Electronics Design Technology,2021,1,0,92.66,01-06-2021,Go,Python,FrontendDeveloper
Jay,Mankar,201979123,mankar_pro@yahoo.com,9756302177,05-08-2001,M,Indian,Diploma,BATU,Computer Science,2020,1,0,93,01-08-2021,C++,PHP,FullStackDeveloper
KTK,ABC,30092,ktk34@gmail.com,7891230972,01-01-2000,O,Irish,B.Tech,NIT Rourkela,Industrial Engineering,2021,0,0,88.9,22-07-2021,Java,Go,BackendDeveloper
Suresh,Hirani,4267457,hiranisr@rknec.edu,9921627192,02-04-1998,M,Indian,B.E.,RCOEM,Civil Engineering,2021,1,1,76.7,18-07-2021,C++,C,FrontendDeveloper
Ankita ,Chopra,90178905,chopra_98@gmail.com,7465999910,01-05-1999,F,Indian,B.E.,MIT,Computer Science,2021,0,0,99.7,01-06-2021,DotNet,AWS,FullStackDeveloper
Ankita ,Sharma,815935917,sharmaa_09@ghraisoni.edu,9130450678,28-02-1999,F,Britain,B.E.,GHRCOE,Electronics and Telecommunication Engineering,2021,0,1,76.66,01-06-2021,Python,Spring,BackendDeveloper
Biswajit,Upadhyay,30758934,bu_29@yahoo.com,9284813257,15-08-1995,M,Indian,B.Tech,STUY,Information technology,2018,1,0,99.99,01-02-2020,Java,Ruby,FrontendDeveloper
Hemant,Bachchan,209874720,hemant92@gmail.com,9922007766,01-02-2000,M,Indian,B.E.,MIT,Mechanical Engineering,2021,0,0,87.88,27-06-2021,Perl,Python,FullStackDeveloper
Ram,Gurav,70231340,gurav_09@gmail.com,9800127645,01-01-1991,M,Indian,B.Tech,VJTI,Industrial Engineering,2014,1,0,95.6,14-06-2021,Salesforce,Spring,BackendDeveloper
Sam ,Martin,129918,martinsam@yahoo.com,9823094572,02-12-1999,M,Australian,B.E.,ICE,Computer Science,2021,0,1,89.99,14-06-2021,Javascript,VBScript,FrontendDeveloper
Samiskha,Modi,605108476,modis@gmail.com,7385112606,18-11-1999,F,Indian,B.E.,Sinhgad College,Mechanical Engineering,2021,0,0,91.11,14-06-2021,SpringBoot,DotNet,FullStackDeveloper
Sonam,Chavan,3591073,chavan_s@gmail.com,9108743922,17-11-1999,F,Indian,B.E.,Sinhgad College,Electronics and Telecommunication Engineering,2021,0,0,80,01-08-2021,CRM,Python,BackendDeveloper
Harshada,Haware,578193,haware_h@yahoo.com,9823481956,20-05-1999,F,Indian,B.tech,VJTI,Information technology,2021,0,0,90,15-09-2021,Python,Java,FrontendDeveloper
Rutwij,Todkar,7007091,todkar@gmail.com,7834290511,28-08-1999,M,Indian,B.E.,Techno Main,Information technology,2021,0,0,80,17-09-2021,Machine learning,AI,FullStackDeveloper
KHJ,CGD,49072278,cgd@yahoo.com,6790189433,10-04-1999,O,Indian,B.tech,VJTI,Computer Science,2021,0,0,100,17-09-2021,Blockchain,Python,BackendDeveloper
Samiksha,Sharma,78390,sam@gmail.com,7753890361,11-12-1999,F,Indian,B.E.,COEP,Industrial Engineering,2021,0,1,88,16-05-2021,AI,PHP,FrontendDeveloper
